,lf_pm10_o,lf_pm10_p,ucm_pm10_o,ucm_pm10_p,utal_pm10_o,utal_pm10_p,lf_pm2_5_o,lf_pm2_5_p,ucm_pm2_5_o,ucm_pm2_5_p,utal_pm2_5_o,utal_pm2_5_p
630,60.0,54.490945650132154,35.0,41.13508478170637,35.0,47.774583480020056,42.0,41.876996098438866,18.0,22.52471250823686,23.0,24.093517351555064
631,56.0,67.1734373661809,46.0,45.15929139249199,32.0,42.72114996779991,55.0,42.67978426031773,21.0,27.68052746178463,22.0,26.58920479064323
632,72.0,75.25442745379064,75.0,88.07259096478865,60.0,61.368707809507306,54.0,52.721969632367134,62.0,51.873177935829204,36.0,45.63162248935469
633,67.0,92.43474093264214,40.0,50.31477584666874,32.0,31.860632994620488,71.0,52.749649047028576,22.0,36.50280417998744,13.0,30.30530508282974
634,56.0,80.9032724043163,45.0,52.981810343525844,32.0,40.79404039471876,65.0,46.13605777470809,24.0,38.583742180629415,22.0,33.24050139840302
635,83.0,78.4092136528061,45.0,57.58726524743423,38.0,32.18126171296613,62.0,62.83485206927885,31.0,38.521779045657794,16.0,35.687191487552994
636,62.0,96.734254495746,31.0,37.4340006939326,31.0,32.2408968531723,70.0,45.405622580366256,17.0,27.966353942009068,17.0,32.621370705138716
637,45.0,54.626923083151496,37.0,50.163673214074514,49.0,48.82236276633401,42.0,32.291231796549006,30.0,18.250672399811023,30.0,31.541303223502915
638,48.0,67.50906067440677,45.0,48.7724876899095,83.0,75.90355484117168,52.0,34.84524280403877,31.0,26.004261518030475,53.0,62.04086091937357
639,106.0,110.92227116172904,62.0,58.6710902283274,123.0,111.68462910655458,87.0,78.16133264434905,42.0,41.09047360751702,86.0,98.04366400688912
640,115.0,141.80032741742525,75.0,67.8331548158821,189.0,170.299773686228,102.0,82.42323340217592,50.0,52.476760213956126,151.0,135.08025860375278
641,113.0,142.3831639742948,108.0,101.37972631662697,69.0,59.582467024412054,118.0,82.0024734374176,81.0,75.59859679965868,42.0,60.53623848240629
642,63.0,107.81956870205829,43.0,53.349068977685484,95.0,85.63650496937422,88.0,50.766811119113534,37.0,36.127290535383445,72.0,76.23969587220328
643,88.0,112.82600069600724,43.0,43.51248030050336,75.0,73.6073065281155,94.0,65.46882549162794,28.0,26.785115530133535,58.0,63.34612459345723
644,54.0,20.613269476505813,16.0,26.20731216468098,28.0,39.885297004315106,1.0,27.549177046848346,9.0,10.702374369902778,23.0,25.302641110051397
645,107.0,69.94709789601508,18.0,29.124341924820023,42.0,45.9356857779986,54.0,70.21465012816445,14.0,20.277902419671726,31.0,37.55800215291119
646,141.0,118.21193770552571,24.0,26.583933930958253,74.0,54.71465914148059,83.0,93.37303916125154,14.0,25.34505727522972,44.0,60.771620438397335
647,112.0,117.66861681685741,27.0,31.291881107930887,83.0,86.16015928095665,90.0,76.91553485898078,14.0,16.21901479236119,67.0,68.40010151182662
648,149.0,145.7046680979077,29.0,37.52072196483482,48.0,47.18049366149814,108.0,98.59034127486032,20.0,16.63219793613471,35.0,44.592606282870996
649,167.0,145.12428779668383,35.0,24.90716841986843,46.0,48.0821715055593,108.0,110.60509536250065,14.0,33.66374956917243,39.0,38.85117923716201
650,36.0,114.9879722050852,32.0,39.38981737780552,43.0,44.52867387614597,78.0,27.521321115628353,23.0,17.069035244839426,28.0,37.233469073516716
651,10.0,15.59509156571277,21.0,28.85230884112179,36.0,33.26691237027332,1.0,5.505116648832393,14.0,10.003214732918382,19.0,31.674220455688534
652,9.0,19.882041878157477,37.0,32.36320080980521,46.0,34.27828737932788,6.0,5.632711523116889,23.0,20.541814317187864,22.0,36.25826743029863
653,9.0,16.312826430339346,40.0,33.81530995374424,47.0,46.1253778379822,5.0,6.1391582810145575,23.0,21.801407010635433,30.0,40.67691043091972
654,21.0,13.825141116473104,43.0,48.63095314318608,48.0,45.63435532048429,1.0,10.992759155706128,35.0,21.219951765199255,30.0,40.70073854375669
655,15.0,46.55656928742476,32.0,34.23029998836164,50.0,45.3331093557462,25.0,24.965364667638926,20.0,16.49104059851919,33.0,41.30575504145544
656,17.0,31.420085122307608,37.0,39.59120084028579,44.0,45.06786498670742,13.0,26.552619107895538,27.0,20.289059340760716,30.0,38.084514806969025
657,11.0,29.420629956601516,35.0,37.588621492221925,39.0,43.8889851717748,10.0,24.343409368153413,24.0,19.267872512423303,27.0,35.22868676029951
658,37.0,44.38981028828202,10.0,16.91663433431153,15.0,15.562259343492695,36.0,25.468575814501857,6.0,6.859400105272386,5.0,14.887669908938149
659,20.0,30.23106751929955,16.0,16.181731559303948,17.0,19.68175810104064,19.0,18.58280527474077,7.0,9.999630602904375,10.0,15.70767747226741
